associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b81c6-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Pottawatomie		39.335	-96.441	1953-07-02	Coelioxys			NA		CUIC	Pottawatomie		urn:uuid:85ad943a-d8e1-11e2-99a2-0026552be7ea	Netting	Coelioxys sayi	Robertson,1897	sayi	Kansas	1953	idigbio	Coelioxys sayi	c(306346.695908657, -623098.950061)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:85daf7ae-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum imitatum	(Smith,1853)	imitatum	Kansas	1963	idigbio	Lasioglossum imitatum	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b8658-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-31	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b8ef0-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Prunus	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1908-03-29	Colletes			NA		AMNH	Manhattan		urn:uuid:8506b552-d8e1-11e2-99a2-0026552be7ea	Netting	Colletes inaequalis	Say,1837	inaequalis	Kansas	1908	idigbio	Colletes inaequalis	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-31	Hylaeus			NA		AMNH	Manhattan		urn:uuid:84d5977e-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Hylaeus mesillae cressoni	(Cockerell,1907)	mesillae cressoni	Kansas	1963	idigbio	Hylaeus mesillae	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Ceanothus	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1912-05-17	Andrena			NA		AMNH	Manhattan		urn:uuid:85186db0-d8e1-11e2-99a2-0026552be7ea	Netting	Andrena cressonii	Robertson,1891	cressonii	Kansas	1912	idigbio	Andrena cressonii	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Ceanothus	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1912-05-17	Andrena			NA		AMNH	Manhattan		urn:uuid:85186e14-d8e1-11e2-99a2-0026552be7ea	Netting	Andrena cressonii	Robertson,1891	cressonii	Kansas	1912	idigbio	Andrena cressonii	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b85f4-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-14	Melissodes			NA		AMNH	Manhattan		urn:uuid:85ac131c-d8e1-11e2-99a2-0026552be7ea	Netting	Melissodes bimaculata bimaculata	(Lepeletier,1825)	bimaculata bimaculata	Kansas	1963	idigbio	Melissodes bimaculatus	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:85df0f38-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum pectorale	(Smith,1853)	pectorale	Kansas	1963	idigbio	Lasioglossum pectorale	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	6104	USA	Riley	2	39.184	-96.572	1948-10-02	Bombus			NA		MSU	Manhattan	10	c53a92ba-9c3a-4f4d-8653-aef5fc161860		Bombus pensylvanicus	(De Geer, 1773)	pensylvanicus	Kansas	1948	idigbio	Bombus pensylvanicus	c(295734.719126413, -640333.166077319)	Flint Hills
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	977	USA	Riley	10	39.299	-96.831		Bombus			NA		MSU			36fd23df-3e1e-4681-8ddf-64de3f61997b		Bombus variabilis	(Cresson, 1872)	variabilis	Kansas	2000	idigbio	Bombus variabilis	c(272942.92149153, -628454.710262265)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-30	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b822a-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1963-07-31	Lasioglossum			NA		AMNH	Manhattan		urn:uuid:851b8a68-d8e1-11e2-99a2-0026552be7ea	Malaise Trap	Lasioglossum hitchensi	Gibbs,2012	hitchensi	Kansas	1963	idigbio	Lasioglossum hitchensi	c(295820.928894813, -640329.607643319)	Flint Hills
associated with:Prunus	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1909-04-17	Colletes			NA		AMNH	Manhattan		urn:uuid:84cde4f2-d8e1-11e2-99a2-0026552be7ea	Netting	Colletes inaequalis	Say,1837	inaequalis	Kansas	1909	idigbio	Colletes inaequalis	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	6104	United States		11	39.184	-96.572	1932-06-11	Megachile			NA		MSU		6	2430dd0f-0fe9-419b-8a56-bff4d1297637		Megachile brevis	Say, 1837	brevis	Kansas	1932	idigbio	Megachile brevis	c(295734.719126413, -640333.166077319)	Flint Hills
associated with:Prunus	PreservedSpecimen				UNITED STATES	Riley		39.184	-96.571	1909-04-13	Colletes			NA		AMNH	Manhattan		urn:uuid:8506cbbe-d8e1-11e2-99a2-0026552be7ea	Netting	Colletes inaequalis	Say,1837	inaequalis	Kansas	1909	idigbio	Colletes inaequalis	c(295820.928894813, -640329.607643319)	Flint Hills
	PreservedSpecimen				UNITED STATES	Riley		39.294	-96.817	1963-07-20	Melissodes			NA		AMNH	Unknown		urn:uuid:85ac11fa-d8e1-11e2-99a2-0026552be7ea	Netting	Melissodes bimaculata bimaculata	(Lepeletier,1825)	bimaculata bimaculata	Kansas	1963	idigbio	Melissodes bimaculatus	c(274168.179284039, -628963.631679108)	Flint Hills
