associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113579	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113597	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113605	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113623	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.603	-82.444	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113641	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1578447.52419209, -878486.65656401)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.613	-82.449	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113678	pan trap	Eucera atriventris			North Carolina	2008	gbif	Eucera atriventris	c(1577796.00329877, -877486.82282706)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.613	-82.449	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113696	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577796.00329877, -877486.82282706)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.613	-82.449	2008-05-30		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113704	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577796.00329877, -877486.82282706)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113722	pan trap	Calliopsis andreniformis			North Carolina	2008	gbif	Calliopsis andreniformis	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113759	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113777	pan trap	Lasioglossum coriaceum			North Carolina	2008	gbif	Lasioglossum coriaceum	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113795	pan trap	Hoplitis pilosifrons			North Carolina	2008	gbif	Hoplitis pilosifrons	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113803	pan trap	Halictus ligatus			North Carolina	2008	gbif	Halictus ligatus	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.616	-82.452	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113821	pan trap	Ptilothrix bombiformis			North Carolina	2008	gbif	Ptilothrix bombiformis	c(1577468.13784126, -877215.051693826)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113858	pan trap	Augochlorella aurata			North Carolina	2008	gbif	Augochlorella aurata	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113876	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113894	pan trap	Lasioglossum bruneri			North Carolina	2008	gbif	Lasioglossum bruneri	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113902	pan trap	Lasioglossum imitatum			North Carolina	2008	gbif	Lasioglossum imitatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113920	pan trap	Augochlorella aurata			North Carolina	2008	gbif	Augochlorella aurata	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113939	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113957	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113975	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO113993	pan trap	Lasioglossum imitatum			North Carolina	2008	gbif	Lasioglossum imitatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114000	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114019	pan trap	Lasioglossum hitchensi			North Carolina	2008	gbif	Lasioglossum hitchensi	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114037	pan trap	Augochlorella aurata			North Carolina	2008	gbif	Augochlorella aurata	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114055	pan trap	Lasioglossum viridatum_group			North Carolina	2008	gbif	Lasioglossum viridatum	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.615	-82.449	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114073	pan trap	Augochlorella aurata			North Carolina	2008	gbif	Augochlorella aurata	c(1577753.99251308, -877268.056673248)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114091	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114118	pan trap	Lasioglossum versatum			North Carolina	2008	gbif	Lasioglossum versatum	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114136	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114154	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114172	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114190	pan trap	Ptilothrix bombiformis			North Carolina	2008	gbif	Ptilothrix bombiformis	c(1577413.25911245, -878365.260204856)	Blue Ridge
	PreservedSpecimen			500	USA	Buncombe		35.606	-82.455	2008-07-17		pasture		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO114217	pan trap	Agapostemon virescens			North Carolina	2008	gbif	Agapostemon virescens	c(1577413.25911245, -878365.260204856)	Blue Ridge
