associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen			500	USA			37.203	-112.988	2011-09-21		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO290984	pan trap	Melissodes tristis			Utah	2011	gbif	Melissodes tristis	c(-1147280.339875, -777125.636508991)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-09-21		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291028	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-09-21		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291046	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-09-21		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291064	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-09-21		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291082	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.203	-112.988	2011-11-02		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291145	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147280.339875, -777125.636508991)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.203	-112.988	2011-11-02		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291163	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147280.339875, -777125.636508991)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.203	-112.988	2011-11-02		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291181	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147280.339875, -777125.636508991)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-11-02		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291208	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.2	-112.988	2011-11-02		COM2		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291226	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1147328.16845384, -777455.947548664)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.199	-112.981	2011-11-02		COM1		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291244	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1146731.87342913, -777662.101354759)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.199	-112.981	2011-11-02		COM1		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291262	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1146731.87342913, -777662.101354759)	Colorado Plateaus
