associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	Preserved specimen	ENTO	13b264e0-ea1c-4ff2-8229-0507f8dbf46a		United States of America	Taylor	9	32.42	-99.857	2001-05-09	Megachile			NA		TAMU	Dyess Air Force Base	5	c09ed308-2736-4d9a-9ee7-6cfd4259f0f6	yellow pan trap	Megachile policaris	Say, 1831	policaris	Texas	2001	idigbio	Megachile policaris	c(13503.8555086396, -1396012.18578403)	Central Great Plains
	PreservedSpecimen	ENT	11991258-201f-460d-a69b-1ab112a01cf3	735	United States	Donley	2	34.867	-100.66	1941-08-02	Halictus			NA		UMNH	Hedley	8	980b9f70-b6cb-483f-8d48-45e19dae3167		Halictus ligatus	Say, 1837	ligatus	Texas	1941	idigbio	Halictus ligatus	c(-60449.4219325178, -1125034.56373036)	Central Great Plains
	PreservedSpecimen	ENT		20032	USA	Taylor County	2	32.449	-99.733	1943-09-02	Lasioglossum			NA		YPM	Camp Barkeley, near Abilene	9	urn:uuid:c29ea493-1f28-407f-a05e-a20473105571		Lasioglossum connexum	(Cresson)	connexum	Texas	1943	idigbio	Lasioglossum connexum	c(25204.6462894266, -1392778.91786618)	Central Great Plains
	PreservedSpecimen	RINVRT		248.0	United States	Comanche	11	34.702	-98.676	11 June 1926	Apis			NA		OMNH	Camp Boulder	6	urn:catalog:OMNH:RINVRT:16440		Apis mellifera	Linnaeus, 1758	mellifera	Oklahoma	1926	idigbio	Apis mellifera	c(121519.107017734, -1142596.0207955)	Central Great Plains
	PreservedSpecimen	ENT		2201	USA	Sumner County	2	37.022	-97.62	1975-07-02	Bombus			NA		YPM	1 mi. S.W. of Caldwell	7	urn:uuid:325a8141-d4e7-4904-b8a4-d35ce0cbdfb1		Bombus pensylvanicus	(DeGeer)	pensylvanicus	Kansas	1975	idigbio	Bombus pensylvanicus	c(211770.88715588, -883394.131450421)	Central Great Plains
associated with:Melilotus officinalis	PreservedSpecimen				UNITED STATES	Cloud		40.413	-99.418	1919-06-25	Megachile			NA		AMNH	Clyde		urn:uuid:82b3b26e-d8e1-11e2-99a2-0026552be7ea	Netting	Megachile brevis	Say,1837	brevis	Kansas	1919	idigbio	Megachile brevis	c(49312.7488371085, -509741.134122878)	Central Great Plains
	PreservedSpecimen				UNITED STATES	Brown		31.709	-98.991	1922-08-30	Augochlorella			NA		AMNH	Brownwood		urn:uuid:85dce226-d8e1-11e2-99a2-0026552be7ea	Unknown	Augochlorella aurata	(Smith,1853)	aurata	Texas	1922	idigbio	Augochlorella aurata	c(96090.9655983982, -1474016.24964428)	Central Great Plains
associated with:Helianthus	PreservedSpecimen				UNITED STATES	Marshall		40.967	-97.208	1920-08-21	Melissodes			NA		AMNH	Marysville		urn:uuid:8833f7ee-d8e1-11e2-99a2-0026552be7ea	Netting	Melissodes agilis	Cresson,1878	agilis	Kansas	1920	idigbio	Melissodes agilis	c(234511.10011416, -444386.424466803)	Central Great Plains
	PreservedSpecimen				UNITED STATES	Pratt		37.635	-98.731	1964-08-19	Diadasia			NA		AMNH	Pratt		urn:uuid:857c37a0-d8e1-11e2-99a2-0026552be7ea	Netting	Diadasia enavata	(Cresson,1872)	enavata	Kansas	1964	idigbio	Diadasia enavata	c(111970.347004741, -817537.92598386)	Central Great Plains
	PreservedSpecimen	MSUC	15cdb244-b82d-4798-af5e-ef7bc138f233	301	United States	Reno	18	38	-98	1950-06-18	Megachile			NA		MSU		6	8f1c235d-b3b7-4b11-bd2b-26ac95af8c69		Megachile brevis	Say, 1837	brevis	Kansas	1950	idigbio	Megachile brevis	c(175552.293051019, -775779.619159056)	Central Great Plains
