associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-06-11/2009-06-18	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:190248?seid=178028	pollinator trap B/W/O	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	500	United States		05	64.914	-147.83	1981-06-05	Bombus	tussock/tall shrub, Ledum spp. flowers		NA		UAM	Goldstream Bog, Balaine Rd.	06	http://arctos.database.museum/guid/UAM:Ento:135218?seid=52308		Bombus mckayi		mckayi	Alaska	1981	idigbio	Bombus mckayi	c(-2086265.45733075, 2915562.65570748)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2010-05-17/2010-05-20	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:190241?seid=1699775	pollinator trap B/W/L	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	5000	United States		05	66.917	-151.513	1963-07-05	Bombus			NA		UAM	Bettles	07	http://arctos.database.museum/guid/UAM:Ento:122806?seid=393104		Bombus frigidus		frigidus	Alaska	1963	idigbio	Bombus frigidus	c(-2047886.67013903, 3189483.22287671)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-04-29/2009-05-01	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:185161?seid=1284648	pollinator trap B/W/L	Bombus melanopygus		melanopygus	Alaska		idigbio	Bombus melanopygus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-06-25/2009-07-02	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:185009?seid=249240	pollinator trap B/W/O	Bombus melanopygus		melanopygus	Alaska		idigbio	Bombus melanopygus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	10	United States		07	66.915	-151.516	2016-06-07	Lasioglossum	lawn		NA		UAM	Bettles, bunkhouse	06	http://arctos.database.museum/guid/UAM:Ento:395697?seid=4281907	bee bowl	Lasioglossum comagenense		comagenense	Alaska	2016	idigbio	Lasioglossum comagenense	c(-2048143.53875897, 3189406.21961039)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-06-25/2009-07-02	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:185032?seid=1323600	pollinator trap B/W/O	Bombus melanopygus		melanopygus	Alaska		idigbio	Bombus melanopygus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-05-01/2009-05-06	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:188582?seid=128095	pollinator trap B/W/L	Bombus mckayi		mckayi	Alaska		idigbio	Bombus mckayi	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	13	United States			64.851	-147.851	2009-06-18/2009-06-25	Bombus			NA		UAM	Fairbanks, UAF Farm		http://arctos.database.museum/guid/UAM:Ento:178254?seid=1020294	pollinator trap B/W/O	Bombus jonellus		jonellus	Alaska		idigbio	Bombus jonellus	c(-2091823.91210071, 2910727.67294619)	Interior Forested Lowlands and Uplands
	PreservedSpecimen	Ento	4	5	United States		27	67.01	-158.838	2019-06-27	Bombus	spring-fed wet area, Hedysarum alpinum		NA		UAM	Great Kobuk Sand Dunes, Kobuk Valley National Park	06	http://arctos.database.museum/guid/UAM:Ento:476079?seid=5402951	net	Bombus frigidus		frigidus	Alaska	2019	idigbio	Bombus frigidus	c(-2248297.60743482, 3417604.36280533)	Interior Forested Lowlands and Uplands
