associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	ENT		14202	USA	Madison County	1	45.193	-112.142	1964-07-01	Agapostemon			NA		YPM	Ruby River Reservoir, 9 mi. S. of Alder	7	urn:uuid:a274c673-1c58-4673-aeb1-f8fccd10536d		Agapostemon texanus	Cresson	texanus	Montana	1964	idigbio	Agapostemon angelicus/texanus	c(-947002.16190767, 92740.8561039955)	Middle Rockies
	PreservedSpecimen	ENT		1185	USA	Carbon County	11	45.197	-109.636	1964-07-11	Hoplitis			NA		YPM	East Rosebud Lake	7	urn:uuid:4e8b604b-507c-41d6-8543-3e037c26f004		Hoplitis albifrons	(Kirby)	albifrons	Montana	1964	idigbio	Hoplitis albifrons	c(-752808.004915452, 66812.1901920639)	Middle Rockies
	PreservedSpecimen	ENT		3632	USA	Fremont County	4	44.424	-111.372	1965-08-04	Bombus			NA		YPM	Macks Inn	8	urn:uuid:0578c6e6-6a4c-4b02-a0cd-e71c2f0ef0bf		Bombus flavifrons	Cresson	flavifrons	Idaho	1965	idigbio	Bombus flavifrons	c(-899411.586609303, -885.020548269879)	Middle Rockies
	PreservedSpecimen	ENT		6196	USA	Park County	22	44.822	-109.347	1964-07-22	Bombus			NA		YPM	Clarks Fork Canyon, Dead Man Creek	7	urn:uuid:f093f1ef-1760-486c-a54d-f3aee4763700		Bombus bifarius	Cresson	bifarius	Wyoming	1964	idigbio	Bombus bifarius	c(-735163.169407533, 22670.7734416192)	Middle Rockies
	PreservedSpecimen	ENT		1985	USA	Park County	21	44.969	-109.479	1964-07-21	Bombus			NA		YPM	Beartooth Plateau	7	urn:uuid:4efe81db-8b7c-48b0-b01a-44588f7e17e1		Bombus nevadensis	Cresson	nevadensis	Wyoming	1964	idigbio	Bombus nevadensis	c(-743579.005492078, 40139.797273516)	Middle Rockies
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Park	16	45.026	-110.702		Bombus			NA		USNM	Yellowstone National Park near Gardiner	8	http://n2t.net/ark:/65665/31b69d09e-783a-4635-8ddc-ef77c7c2d7ce		Bombus (Cullumanobombus) rufocinctus	Cresson	rufocinctus	Montana	1962	idigbio	Bombus rufocinctus	c(-838021.512937766, 58400.5325317449)	Middle Rockies
	PreservedSpecimen	ENT		9507	USA	Carbon County	26	45.086	-109.369	1964-07-26	Bombus			NA		YPM	Beartooth Pass	7	urn:uuid:f765ec89-5f1f-4899-8ffb-b41b8ea16806		Bombus sylvicola	Kirby	sylvicola	Montana	1964	idigbio	Bombus sylvicola	c(-733495.44984657, 52079.0452615549)	Middle Rockies
	PreservedSpecimen	ENT		7718	USA	Lincoln County	29	42.518	-110.912	1964-07-29	Bombus			NA		YPM	8 mi. S. of Smoot	7	urn:uuid:df6dce21-8b8f-4fc1-9a53-38bc249d625e		Bombus californicus	Smith	californicus	Wyoming	1964	idigbio	Bombus californicus	c(-891239.202588878, -216423.777591089)	Middle Rockies
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Park	15	44.977	-110.699		Bombus			NA		USNM	Yellowstone National Park, Mammoth	8	http://n2t.net/ark:/65665/3444cef0d-d13d-456f-8379-d606fdca8285		Bombus (Pyrobombus) flavifrons	Cresson	flavifrons	Wyoming	1962	idigbio	Bombus flavifrons	c(-838506.703179477, 52956.578559176)	Middle Rockies
	PreservedSpecimen	ENT		2639	USA	Park County	22	44.952	-109.654	1964-07-22	Hoplitis			NA		YPM	Clarks Fork Yellowstone River, 1 mi. S. of Muddy Creek	7	urn:uuid:48a72150-4bcc-4312-a2ee-20a3017aa122		Hoplitis robusta	(Nylander)	robusta	Wyoming	1964	idigbio	Hoplitis robusta	c(-757450.969170315, 39882.8305051499)	Middle Rockies
	PreservedSpecimen	ENT		1576	USA	Lincoln County	29	42.814	-110.965	1964-07-29	Bombus			NA		YPM	3 mi. N.W. oof Grover	7	urn:uuid:7479a553-960d-4396-830b-26621851d188		Bombus rufocinctus	Cresson	rufocinctus	Wyoming	1964	idigbio	Bombus rufocinctus	c(-891224.476759559, -183148.719285938)	Middle Rockies
	PreservedSpecimen	ENT	urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad		United States	Park	0	45.017	-109.939		Bombus			NA		USNM	Cooke City-Silver Gate	3	http://n2t.net/ark:/65665/336112fb7-3e1f-41e9-8ad1-28c84eb60c3f		Bombus (Pyrobombus) mixtus	Cresson	mixtus	Montana	1896	idigbio	Bombus mixtus	c(-778788.135054432, 49777.3082431081)	Middle Rockies
	PreservedSpecimen	ENT		1576	USA	Lincoln County	29	42.814	-110.965	1964-07-29	Bombus			NA		YPM	3 mi. N.W. oof Grover	7	urn:uuid:20c3f94e-47c7-4037-901d-090a3613eef5		Bombus bifarius	Cresson	bifarius	Wyoming	1964	idigbio	Bombus bifarius	c(-891224.476759559, -183148.719285938)	Middle Rockies
	PreservedSpecimen	ENT		4140	USA	Broadwater County	28	46.321	-111.23	1964-06-28	Halictus			NA		YPM	14 mi. E. of Townsend	6	urn:uuid:30844acb-a9ab-47cc-b5d6-76718547bce7		Halictus rubicundus	(Christ)	rubicundus	Montana	1964	idigbio	Halictus rubicundus	c(-858943.013988627, 206942.921136899)	Middle Rockies
	PreservedSpecimen	ENT		6196	USA	Park County	22	44.822	-109.347	1964-07-22	Bombus			NA		YPM	Clarks Fork Canyon, Dead Man Creek	7	urn:uuid:b526cfcd-8cd0-453b-a81b-ce05a688aab8		Bombus flavifrons	Cresson	flavifrons	Wyoming	1964	idigbio	Bombus flavifrons	c(-735163.169407533, 22670.7734416192)	Middle Rockies
	PreservedSpecimen	ENT		90	USA	Teton County	18	43.75	-110.08	1967-07-18	Bombus			NA		YPM	Willow Bogs on Rosies Ridge, W. side Togwotee Pass	7	urn:uuid:64ea07f4-f361-4568-af93-d7669c84506e		Bombus appositus	Cresson	appositus	Wyoming	1967	idigbio	Bombus appositus	c(-807127.990580244, -88932.1026470485)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	24	43.935	-110.59	1995-06-24	Bombus			NA		UCM	Teton County	6	134e171d-1c27-4c99-bca6-6811cec95cf9		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	23	43.935	-110.59	1995-06-23	Bombus			NA		UCM	Teton County	6	c2b88a64-b5b1-4c0c-a00e-c8cc11ded13e		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	23	43.935	-110.59	1995-06-23	Bombus			NA		UCM	Teton County	6	006bcac4-2231-450c-8773-8b187a8d68cc		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	26	43.935	-110.59	1995-06-26	Bombus			NA		UCM	Teton County	6	e97a7baa-564b-43ec-b82d-8d17fc815cea		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
