associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	Ento	4	10	United States			65.093	-147.43	2016-06-17/2016-07-01	Bombus	Steep n/e. slope, dry b. spruce		NA		UAM	Steese Highway, Mile 26		http://arctos.database.museum/guid/UAM:Ento:343985?seid=3384448	pollinator vane trap, 0.5m	Bombus jonellus		jonellus	Alaska		idigbio	Bombus jonellus	c(-2058548.60586806, 2919594.62583734)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.093	-147.43	2016-06-17/2016-07-01	Bombus	Steep n/e. slope, dry b. spruce		NA		UAM	Steese Highway, Mile 26		http://arctos.database.museum/guid/UAM:Ento:344013?seid=3384476	pollinator vane trap, 0.5m	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2058548.60586806, 2919594.62583734)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	1000	United States		21	65.049	-146.048	1965-07-21	Halictus			NA		UAM	Chena Hot Springs	07	http://arctos.database.museum/guid/UAM:Ento:123281?seid=173587		Halictus rubicundus		rubicundus	Alaska	1965	idigbio	Halictus rubicundus	c(-2012755.20943531, 2876921.21678219)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	5000	United States		14	65.295	-146.459	1982-07-14	Bombus	roadside crk crossing, Epilobium angustifolium		NA		UAM	mile 66 Steese Highway	07	http://arctos.database.museum/guid/UAM:Ento:132430?seid=565239		Bombus frigidus		frigidus	Alaska	1982	idigbio	Bombus frigidus	c(-2009081.56039957, 2909902.33741519)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.335	-146.84	2016-07-01/2016-07-15	Bombus	b. & w. spruce, willow		NA		UAM	White Mountains Recreation Area, Nome Creek Site 4		http://arctos.database.museum/guid/UAM:Ento:338626?seid=3226927	pollinator vane, 0.5m	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2019501.65179194, 2923992.51427475)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	1000	United States		14	65.236	-146.852	1982-07-14	Bombus	roadside weeds, Epilobium angustifolium		NA		UAM	54 2/3 Mi. Steese Hwy	07	http://arctos.database.museum/guid/UAM:Ento:132538?seid=1721290		Bombus mixtus		mixtus	Alaska	1982	idigbio	Bombus mixtus	c(-2027383.91478396, 2915706.56571407)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	500	United States		28	65.501	-145.383	1982-07-28	Bombus	snow flush meadow, Polemonium coeruleum		NA		UAM	109 mi Steese Hwy	07	http://arctos.database.museum/guid/UAM:Ento:133124?seid=1403859		Bombus jonellus		jonellus	Alaska	1982	idigbio	Bombus jonellus	c(-1955630.91113066, 2898562.70121091)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	1000	United States		21	65.049	-146.048	1965-07-21	Halictus			NA		UAM	Chena Hot Springs	07	http://arctos.database.museum/guid/UAM:Ento:123268?seid=474455		Halictus rubicundus		rubicundus	Alaska	1965	idigbio	Halictus rubicundus	c(-2012755.20943531, 2876921.21678219)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	3000	United States		13	64.783	-141.2	1963-08-13	Bombus			NA		UAM	Eagle	08	http://arctos.database.museum/guid/UAM:Ento:122777?seid=876095		Bombus mckayi		mckayi	Alaska	1963	idigbio	Bombus mckayi	c(-1850801.22934197, 2724079.51574594)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.334	-146.83	2015-06-12/2015-07-03	Bombus	Mixed black and white spruce with willow		NA		UAM	White Mountains Recreation Area, Nome Creek Site 4		http://arctos.database.museum/guid/UAM:Ento:315776?seid=2671827	pollinator vane trap, 0.5m	Bombus mixtus		mixtus	Alaska		idigbio	Bombus mixtus	c(-2019225.89273858, 2923626.45638278)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.341	-146.928	2015-06-12/2015-07-03	Bombus	Open tussuck and standing water, some willow and bog birch		NA		UAM	White Mountain Recreation Area, Nome Creek Site 5		http://arctos.database.museum/guid/UAM:Ento:314111?seid=2667599	pollinator vane trap, 0.5m	Bombus frigidus		frigidus	Alaska		idigbio	Bombus frigidus	c(-2022136.32514043, 2926971.67751033)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.341	-146.928	2015-06-12/2015-07-03	Bombus	Open tussuck and standing water, some willow and bog birch		NA		UAM	White Mountain Recreation Area, Nome Creek Site 5		http://arctos.database.museum/guid/UAM:Ento:314044?seid=2667532	pollinator vane trap, 0.5m	Bombus jonellus		jonellus	Alaska		idigbio	Bombus jonellus	c(-2022136.32514043, 2926971.67751033)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	10	United States			65.341	-146.928	2015-06-12/2015-07-03	Bombus	Open tussuck and standing water, some willow and bog birch		NA		UAM	White Mountain Recreation Area, Nome Creek Site 5		http://arctos.database.museum/guid/UAM:Ento:314021?seid=2667509	pollinator vane trap, 0.5m	Bombus jonellus		jonellus	Alaska		idigbio	Bombus jonellus	c(-2022136.32514043, 2926971.67751033)	Interior Highlands and Klondike Plateau
	PreservedSpecimen	Ento	4	5000	United States		14	65.295	-146.459	1982-07-14	Bombus	roadside crk crossing, Epilobium angustifolium		NA		UAM	mile 66 Steese Highway	07	http://arctos.database.museum/guid/UAM:Ento:132448?seid=1264832		Bombus mixtus		mixtus	Alaska	1982	idigbio	Bombus mixtus	c(-2009081.56039957, 2909902.33741519)	Interior Highlands and Klondike Plateau
