associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
Cornus stolenifera	PreservedSpecimen				Canada		14	49.85	-112.73	1982-06-14	Andrena			NA		KU	Lethbridge, Picture Butte, 3 mi SE	6	42afba67-1ed6-11e3-bfac-90b11c41863e		Andrena (Thysandrena) medionitens		medionitens	Alberta	1982	idigbio	Andrena medionitens	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
Melilotus alba	PreservedSpecimen	SEMC			Canada		1	50.283	-107.767	1971-08-01	Bombus			NA		KU	Swift Current	8	39785bec-1ed6-11e3-bfac-90b11c41863e		Bombus (Cullumanobombus) rufocinctus		rufocinctus	Saskatchewan	1971	idigbio	Bombus rufocinctus	c(-551338.743352588, 614310.129905129)	Northwestern Glaciated Plains
Astragalus bisulcatus	PreservedSpecimen	SEMC			Canada		14	49.85	-112.73	1982-06-14	Megachile			NA		KU	Picture Butte, 3 mi SE	6	c6e5f0fb-5a72-4fea-8ad8-2f4f1928d379		Megachile (Xanthosarus) melanophaea		melanophaea	Alberta	1982	idigbio	Megachile melanophaea	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
Melilotus alba	PreservedSpecimen	SEMC			Canada		1	50.283	-107.767	1971-08-01	Bombus			NA		KU	Swift Current	8	24d3def0-1ed6-11e3-bfac-90b11c41863e		Bombus (Cullumanobombus) rufocinctus		rufocinctus	Saskatchewan	1971	idigbio	Bombus rufocinctus	c(-551338.743352588, 614310.129905129)	Northwestern Glaciated Plains
	PreservedSpecimen	SMIRC	79a96c8c-5719-4e0e-8a24-d597c48c1d62	3036	United States	Sully	18	44.708	-100.06	1933-06-18				NA		SDSU	Onida	6	cb526908-8e27-4dce-a58d-6a9e1f49326a		Colletes Colletes phaceliae			South Dakota	1933	idigbio	Colletes phaceliae	c(-4741.59505312621, -32467.1148603905)	Northwestern Glaciated Plains
Helianthus petiolaris	PreservedSpecimen	SEMC			Canada		6	49.85	-112.73	1978-08-06	Dianthidium			NA	sayi	KU	Picture Butte, 3 mi SE	8	4014ada0-1ed6-11e3-bfac-90b11c41863e		Dianthidium (Dianthidium) curvatum sayi		curvatum	Alberta	1978	idigbio	Dianthidium curvatum	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
Astragalus tenellus	PreservedSpecimen	SEMC			Canada		14	49.85	-112.73	1982-06-14	Anthidium			NA		KU	Picture Butte, 3 mi SE	6	fd10badc-be49-4698-9806-df0603a0691a		Anthidium (Anthidium) tenuiflorae		tenuiflorae	Alberta	1982	idigbio	Anthidium tenuiflorae	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		3	49.85	-112.73	1994-08-03	Megachile			NA		KU	Lethbridge, Picture Butte; 5 km SE	8	4d0cfbe5-1ed6-11e3-bfac-90b11c41863e		Megachile (Eutricharaea) rotundata		rotundata	Alberta	1994	idigbio	Megachile rotundata	c(-908583.002375876, 612320.453036769)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		8	49.483	-113.95	1974-08-08	Bombus			NA		KU	Pincher Creek, 15 mi W	8	1c9300e1-1ed6-11e3-bfac-90b11c41863e		Bombus (Cullumanobombus) rufocinctus		rufocinctus	Alberta	1974	idigbio	Bombus rufocinctus	c(-1001995.32395349, 586740.021275757)	Northwestern Glaciated Plains
	PreservedSpecimen	SEMC			Canada		28	50.4	-105.05	1972-07-28	Perdita			NA		KU	Moose Jaw, 21 mi W	7	34799daf-1ed6-11e3-bfac-90b11c41863e		Perdita (Perdita) laticincta		laticincta	Saskatchewan	1972	idigbio	Perdita laticincta	c(-358026.322398361, 611657.414701347)	Northwestern Glaciated Plains
